neighborhood,property_type,accommodates,bathrooms,bedrooms,price,cleaning_fee,rating,superhost,response_time,latitude,longitude
Shaw,Townhouse,16,3.5,4,433,250,95.0,No,within an hour,38.90982,-77.02016
Brightwood Park,Townhouse,4,3.5,4,154,50,97.0,No,,38.95888,-77.02554
Capitol Hill,House,2,1.5,1,83,35,97.0,Yes,within an hour,38.88791,-76.99668
Shaw,House,2,2.5,1,475,0,98.0,No,,38.91331,-77.02436
Kalorama Heights,Apartment,3,1.0,1,118,15,91.0,No,within an hour,38.91933,-77.04124
Kalorama Heights,Apartment,1,1.0,1,42,0,97.0,No,within an hour,38.91966,-77.04306
Columbia Heights,Apartment,4,1.0,1,125,0,98.0,No,within an hour,38.92836,-77.03135999999998
Shaw,Townhouse,11,2.5,3,433,175,93.0,No,within an hour,38.90689,-77.02509
Brightwood Park,House,1,1.5,1,40,70,90.0,No,within an hour,38.95313,-77.03583
Shaw,Apartment,6,1.0,2,130,95,87.0,No,within an hour,38.90879,-77.02403000000002
Dupont Circle,Apartment,2,,1,195,100,97.0,Yes,within a day,38.91168,-77.03501
Kalorama Heights,House,1,1.0,1,63,15,97.0,Yes,within an hour,38.92114,-77.0487
Kalorama Heights,House,3,1.0,1,90,15,97.0,Yes,within an hour,38.92166,-77.04876999999998
Edgewood,Apartment,1,1.0,1,35,25,97.0,No,within an hour,38.9165,-77.01028000000002
Brightwood Park,Townhouse,16,3.5,4,221,155,87.0,No,within an hour,38.94684,-77.02294
Edgewood,House,4,1.5,1,62,30,94.0,No,,38.91573,-77.00721
Shaw,Townhouse,2,1.5,1,87,50,95.0,Yes,within a few hours,38.91235,-77.01873
Kalorama Heights,Apartment,2,1.0,1,75,150,100.0,No,within a day,38.92105,-77.03772
Union Station,House,8,1.0,2,140,75,94.0,No,,38.89768,-76.97113
Shaw,Condominium,4,2.0,2,150,75,100.0,No,within a few hours,38.91409,-77.02484
Dupont Circle,Apartment,2,1.0,1,135,75,97.0,No,within a few hours,38.915,-77.03853000000002
Brightwood Park,House,1,1.0,1,49,50,93.0,Yes,within a few hours,38.94437,-77.04345
Dupont Circle,House,2,1.0,1,309,50,100.0,No,a few days or more,38.91297,-77.0465
Dupont Circle,Townhouse,1,1.0,1,99,100,92.0,No,a few days or more,38.91296,-77.04639
Capitol Hill,Apartment,2,1.0,1,130,100,93.0,No,within an hour,38.87859,-76.98519
Shaw,Apartment,4,1.0,2,110,95,86.0,No,within an hour,38.90831,-77.02364
Kalorama Heights,Apartment,4,2.0,2,250,135,97.0,Yes,within an hour,38.92009,-77.04137
Dupont Circle,Apartment,1,1.0,1,100,100,95.0,No,within a day,38.91314000000001,-77.04431
Edgewood,Townhouse,2,1.5,1,65,10,94.0,No,a few days or more,38.93404,-77.01488
Brightwood Park,Townhouse,6,3.0,3,199,99,97.0,No,,38.9581,-77.02271
Dupont Circle,House,3,1.0,1,269,50,85.0,No,a few days or more,38.91297,-77.0465
Brightwood Park,House,4,1.5,1,109,25,93.0,Yes,within a few hours,38.94363,-77.04562
Capitol Hill,Townhouse,3,1.0,1,78,0,97.0,No,within an hour,38.88535,-76.98183
Columbia Heights,Townhouse,1,1.0,1,55,25,95.0,No,within an hour,38.92499,-77.02831
Dupont Circle,Apartment,6,2.0,3,280,145,95.0,Yes,within an hour,38.91613,-77.03572
Shaw,Townhouse,2,1.0,1,150,50,96.0,Yes,within an hour,38.90968,-77.02747
Dupont Circle,Apartment,4,1.0,1,149,0,99.0,Yes,within an hour,38.91452,-77.03554
Kalorama Heights,Apartment,3,1.0,1,90,150,94.0,No,within a day,38.91984,-77.04481
Columbia Heights,Townhouse,2,2.0,1,65,25,96.0,Yes,within an hour,38.92413,-77.02878
Dupont Circle,Apartment,4,1.0,1,325,50,94.0,No,a few days or more,38.91297,-77.0465
Brightwood Park,Apartment,6,1.0,1,83,60,95.0,Yes,within an hour,38.93807,-77.01982
Capitol Hill,Apartment,4,1.0,1,140,50,94.0,No,,38.88212,-76.99944
Union Station,Apartment,3,2.0,2,125,0,,No,within a day,38.89994,-77.00106
Union Station,Apartment,3,2.0,2,100,250,,No,within a day,38.90065,-77.00129
Capitol Hill,Apartment,3,1.0,1,125,70,95.0,No,within an hour,38.88513,-77.00384
Capitol Hill,Townhouse,5,1.5,3,175,60,92.0,No,within an hour,38.88394,-76.98212
Capitol Hill,Apartment,4,1.0,1,175,80,96.0,Yes,within an hour,38.89,-76.99466
Shaw,Apartment,6,1.0,1,139,70,92.0,Yes,within an hour,38.911,-77.02074
Capitol Hill,Apartment,5,1.0,1,188,45,97.0,Yes,within an hour,38.88306,-76.99497
Dupont Circle,Townhouse,2,1.5,1,150,20,99.0,Yes,within an hour,38.90945,-77.03591
Edgewood,Townhouse,2,1.0,2,149,120,89.0,Yes,within a few hours,38.91973,-77.01392
Brightwood Park,Apartment,1,1.0,1,59,35,99.0,No,within an hour,38.94202,-77.02226
Capitol Hill,House,6,2.5,4,265,150,100.0,Yes,within an hour,38.88536,-77.00601
Shaw,Townhouse,2,1.5,1,73,50,98.0,Yes,within a few hours,38.91255,-77.01999
Capitol Hill,Apartment,4,1.0,1,85,85,97.0,Yes,within an hour,38.8814,-76.98874
Kalorama Heights,House,2,1.0,1,125,50,,No,,38.92671,-77.03971999999997
Union Station,House,5,1.5,2,125,0,95.0,No,,38.89884,-76.9973
Capitol Hill,Townhouse,2,1.0,1,145,75,98.0,No,within an hour,38.88753,-76.99453000000003
Columbia Heights,Townhouse,2,2.5,1,65,10,89.0,No,a few days or more,38.92973,-77.01939
Brightwood Park,House,2,1.0,1,59,25,94.0,Yes,within a few hours,38.94314,-77.04345
Edgewood,Apartment,6,1.0,1,102,80,95.0,Yes,within an hour,38.91101,-77.00776
Columbia Heights,Townhouse,2,2.0,1,60,25,97.0,Yes,within an hour,38.92414,-77.0285
Capitol Hill,Townhouse,1,1.0,1,35,45,95.0,No,,38.8817,-76.98696
Brightwood Park,Condominium,4,1.0,1,79,0,92.0,No,,38.95802,-77.02202
Shaw,Apartment,4,1.0,1,115,0,94.0,No,,38.90694000000001,-77.03203
Kalorama Heights,Apartment,2,,1,45,0,,No,,38.91737,-77.0441
Edgewood,Townhouse,4,3.0,2,250,160,,No,,38.91947,-77.01187
Dupont Circle,Condominium,2,1.0,1,125,75,93.0,No,a few days or more,38.90767,-77.0396
Edgewood,Townhouse,3,1.0,2,120,50,97.0,No,within an hour,38.91574,-77.0058
Edgewood,Apartment,1,1.0,1,55,0,97.0,Yes,within an hour,38.91502,-77.00153
Columbia Heights,Apartment,6,1.0,1,125,90,97.0,Yes,within an hour,38.92934,-77.03088000000002
Union Station,Apartment,4,1.0,1,150,100,97.0,No,within an hour,38.89705,-77.00146
Brightwood Park,House,1,3.5,1,120,0,100.0,No,,38.93841,-77.01746
Columbia Heights,House,1,1.0,1,195,0,,No,,38.93103,-77.04064
Columbia Heights,Apartment,4,1.0,1,150,70,96.0,No,,38.93432,-77.0418
Columbia Heights,Apartment,5,2.0,2,249,200,95.0,No,within an hour,38.92748,-77.03822
Shaw,Apartment,4,1.0,1,115,90,84.0,No,within an hour,38.90692,-77.02424
Union Station,Condominium,4,1.0,2,40,50,100.0,No,,38.89318,-76.97821
Columbia Heights,Condominium,2,1.0,1,139,200,89.0,No,within an hour,38.92747,-77.03845
Union Station,Apartment,2,1.0,1,79,20,90.0,No,,38.89725,-76.97125
Capitol Hill,Apartment,5,1.0,1,145,60,97.0,Yes,within an hour,38.8894,-76.98866
Edgewood,Condominium,1,1.0,1,35,15,88.0,No,within an hour,38.91908,-77.01404000000002
Brightwood Park,Apartment,1,2.0,1,39,15,87.0,No,within an hour,38.93707,-77.02365999999998
Union Station,Apartment,4,1.0,1,139,150,99.0,Yes,within a few hours,38.89391,-76.99773
Columbia Heights,Apartment,5,1.0,2,400,70,91.0,No,within an hour,38.92049,-77.03358
Kalorama Heights,Townhouse,4,1.5,2,185,125,96.0,Yes,within an hour,38.91258,-77.04855
Edgewood,Condominium,1,3.0,1,28,15,90.0,No,within an hour,38.91912,-77.01369
Columbia Heights,House,1,1.0,1,89,0,92.0,No,within a day,38.92983,-77.02263
Union Station,Townhouse,4,2.5,2,225,80,96.0,No,within a day,38.89591,-76.99803
Dupont Circle,Apartment,2,1.0,1,105,0,98.0,No,,38.91763,-77.0394
Columbia Heights,Apartment,2,1.0,1,81,90,85.0,No,,38.92352,-77.03520999999998
Edgewood,House,6,1.5,3,190,75,98.0,No,within a day,38.92954,-76.99874
Columbia Heights,Apartment,2,1.0,1,80,0,91.0,No,,38.92782,-77.03985
Columbia Heights,Apartment,2,1.0,1,107,35,94.0,No,,38.9244,-77.03475
Columbia Heights,Townhouse,6,2.5,3,300,125,98.0,No,,38.93516,-77.04503000000003
Union Station,Apartment,5,1.0,1,120,50,94.0,No,within a day,38.8933,-76.99714
Brightwood Park,Apartment,1,2.0,1,39,20,86.0,No,within an hour,38.9384,-77.02363000000003
Brightwood Park,Apartment,1,2.0,1,35,15,88.0,No,within an hour,38.93656,-77.02377
Columbia Heights,Condominium,5,1.0,1,135,85,90.0,Yes,within a few hours,38.93689000000001,-77.02062
Edgewood,House,1,1.0,1,275,100,,No,,38.91427,-77.01162
Shaw,House,2,1.0,1,72,40,95.0,Yes,within a few hours,38.91066,-77.02190999999998
Brightwood Park,House,2,1.0,1,82,25,94.0,Yes,within an hour,38.94265,-77.03353
Brightwood Park,House,2,3.0,1,65,0,93.0,Yes,within an hour,38.9434,-77.03368
Columbia Heights,Apartment,6,2.5,2,200,100,95.0,No,,38.92633,-77.035
Shaw,Apartment,2,1.0,1,129,0,99.0,Yes,within an hour,38.90879,-77.03345
Union Station,House,2,1.0,1,90,38,93.0,No,,38.8976,-76.99691999999997
Union Station,Townhouse,6,2.5,3,225,125,97.0,Yes,within a few hours,38.89271,-76.99412
Dupont Circle,House,6,2.0,3,350,250,96.0,Yes,within an hour,38.91315,-77.04173
Brightwood Park,Apartment,1,1.0,1,30,150,96.0,Yes,,38.94755,-77.03105
Shaw,Apartment,4,1.0,0,120,40,99.0,Yes,within an hour,38.90902,-77.03318
Capitol Hill,House,2,1.0,1,70,60,92.0,No,,38.8805,-76.98606
Dupont Circle,Condominium,6,2.0,2,139,50,99.0,Yes,within an hour,38.90791,-77.03514
Brightwood Park,Townhouse,11,3.0,3,240,125,97.0,Yes,within a few hours,38.94995,-77.02011
Shaw,Apartment,6,2.0,2,345,80,97.0,No,,38.90958,-77.03147
Dupont Circle,Apartment,6,1.0,1,199,60,91.0,No,within an hour,38.90959,-77.04706
Columbia Heights,House,4,1.5,4,200,0,,No,,38.92963,-77.04086
Capitol Hill,Apartment,2,1.0,1,125,70,100.0,No,,38.88854,-76.98575
Kalorama Heights,Apartment,2,2.0,2,120,0,,No,,38.92275,-77.04160999999998
Kalorama Heights,Apartment,2,1.0,1,79,40,96.0,No,within a day,38.91669,-77.04373000000002
Dupont Circle,Apartment,4,2.0,2,131,115,96.0,No,,38.9104,-77.03463
Shaw,Apartment,2,1.0,1,125,0,98.0,No,within a few hours,38.91118,-77.02282
Brightwood Park,Apartment,4,1.0,1,99,20,87.0,No,,38.93959,-77.03818000000003
Edgewood,Apartment,4,1.0,1,95,40,98.0,Yes,within a day,38.91445,-77.00144
Edgewood,House,6,2.5,3,225,75,100.0,Yes,within an hour,38.91832,-77.00067
Dupont Circle,Condominium,2,2.0,1,105,0,94.0,No,,38.90894,-77.04471
Brightwood Park,Townhouse,1,1.0,1,60,0,88.0,Yes,within an hour,38.9434,-77.03441
Union Station,Townhouse,8,2.0,2,244,124,95.0,Yes,within an hour,38.90419,-77.0022
Columbia Heights,Condominium,2,1.0,1,129,200,94.0,No,within an hour,38.9276,-77.03764
Columbia Heights,Townhouse,10,3.5,4,350,200,95.0,Yes,within an hour,38.93049,-77.044
Dupont Circle,Condominium,2,1.0,0,86,60,97.0,Yes,within an hour,38.90796,-77.04041
Columbia Heights,House,1,1.0,1,80,45,100.0,No,,38.92919000000001,-77.02708
Columbia Heights,House,2,1.5,2,165,100,96.0,No,a few days or more,38.93461,-77.04668000000002
Brightwood Park,Apartment,4,1.0,1,70,65,95.0,Yes,within an hour,38.94099,-77.02121
Columbia Heights,Apartment,4,1.0,1,110,90,98.0,Yes,within an hour,38.9277,-77.03121999999998
Union Station,House,3,1.0,1,350,50,97.0,No,,38.89732,-77.00029
Columbia Heights,Apartment,4,1.0,1,99,45,98.0,Yes,within an hour,38.93246,-77.04259
Brightwood Park,Apartment,4,1.0,1,135,0,93.0,No,within an hour,38.93771,-77.02871999999998
Dupont Circle,Apartment,3,1.0,1,120,70,88.0,No,within an hour,38.91726,-77.03996
Edgewood,House,4,1.0,2,100,65,98.0,Yes,within an hour,38.91727,-77.0113
Kalorama Heights,Apartment,2,1.0,1,92,130,98.0,No,within an hour,38.91233,-77.04941
Columbia Heights,Townhouse,2,1.0,1,45,75,87.0,No,within a day,38.92519,-77.02925
Shaw,Townhouse,2,1.0,1,90,50,94.0,No,within a few hours,38.91362,-77.02271999999998
Capitol Hill,Townhouse,8,3.0,3,395,175,96.0,Yes,within an hour,38.88053,-76.9954
Columbia Heights,Apartment,2,1.0,0,76,200,94.0,No,within an hour,38.92761,-77.03765
Columbia Heights,House,2,1.0,1,120,60,94.0,No,,38.93105,-77.0257
Columbia Heights,Apartment,8,1.0,2,85,60,94.0,Yes,within an hour,38.93384,-77.02781999999998
Columbia Heights,House,4,1.0,1,95,65,94.0,No,within an hour,38.93143,-77.02286
Columbia Heights,Townhouse,5,2.5,3,499,175,100.0,No,within a few hours,38.9338,-77.0273
Columbia Heights,Apartment,4,1.0,1,89,65,97.0,Yes,within an hour,38.93362,-77.02555
Brightwood Park,Apartment,2,1.0,0,100,100,99.0,No,,38.9383,-77.03171
Kalorama Heights,Condominium,6,2.5,2,450,175,96.0,No,within an hour,38.91373,-77.04713000000002
Kalorama Heights,Apartment,1,1.0,1,89,35,96.0,No,within a day,38.92328,-77.04052
Capitol Hill,Townhouse,8,1.5,3,495,200,95.0,No,within an hour,38.89074,-77.00164000000002
Dupont Circle,Apartment,2,1.0,1,145,65,99.0,Yes,within an hour,38.9147,-77.0402
Capitol Hill,Apartment,6,1.0,2,175,150,90.0,No,within an hour,38.88728,-76.98906
Capitol Hill,Townhouse,6,2.5,2,250,175,92.0,No,within an hour,38.88776,-76.99031
Kalorama Heights,Apartment,5,1.0,1,275,150,92.0,No,within an hour,38.91301,-77.04844
Brightwood Park,House,2,1.5,1,40,15,95.0,No,,38.94012,-77.03388000000002
Union Station,Apartment,4,1.0,1,129,60,96.0,Yes,within an hour,38.89327,-76.99019
Shaw,Apartment,4,1.0,1,115,65,98.0,Yes,within an hour,38.91181,-77.01764
Kalorama Heights,Apartment,1,1.0,1,89,75,98.0,Yes,within a day,38.91983,-77.0393
Shaw,Townhouse,4,2.0,2,222,60,97.0,No,within an hour,38.90602,-77.01825
Columbia Heights,Condominium,2,1.0,1,100,65,93.0,No,within an hour,38.92305,-77.03025
Kalorama Heights,Apartment,4,2.5,2,280,0,,Yes,within an hour,38.91633,-77.04315
Kalorama Heights,Apartment,2,1.0,0,80,50,86.0,No,within a day,38.9205,-77.04705
Dupont Circle,Apartment,6,2.0,2,120,150,93.0,No,within a few hours,38.91743,-77.03763000000002
Union Station,Townhouse,2,1.0,1,86,0,96.0,No,within an hour,38.89603,-76.9714
Edgewood,Townhouse,6,2.5,3,450,175,90.0,No,within an hour,38.91371,-77.01435
Capitol Hill,Apartment,3,1.0,1,115,40,,No,,38.88089,-76.99661
Columbia Heights,Condominium,2,1.0,1,100,35,99.0,No,within an hour,38.92562,-77.03453
Columbia Heights,Townhouse,8,1.5,4,325,120,99.0,No,within a few hours,38.92914,-77.04176
Columbia Heights,Apartment,6,1.0,1,99,65,98.0,Yes,within an hour,38.93115,-77.03846
Capitol Hill,Apartment,3,1.0,1,150,0,92.0,No,within a day,38.88888,-76.99376
Capitol Hill,House,1,1.0,1,85,0,97.0,Yes,within an hour,38.8894,-76.98665
Columbia Heights,Apartment,5,2.0,2,229,200,90.0,No,within an hour,38.9285,-77.03671
Capitol Hill,Apartment,8,1.0,2,284,100,92.0,No,,38.88953,-77.00101
Capitol Hill,Apartment,5,1.0,1,197,100,93.0,No,,38.88873,-77.00246
Shaw,House,4,1.0,2,220,50,99.0,No,,38.91286,-77.02218
Union Station,Townhouse,3,1.0,2,115,75,97.0,Yes,within a few hours,38.89563,-76.99516
Capitol Hill,Townhouse,9,3.5,3,140,100,100.0,No,,38.88397,-76.98605
Dupont Circle,Condominium,2,1.0,1,125,30,90.0,Yes,,38.91464000000001,-77.04129
Shaw,Apartment,2,1.0,1,90,0,97.0,Yes,within an hour,38.90726,-77.0338
Columbia Heights,Apartment,1,1.0,1,60,40,99.0,No,within a few hours,38.9298,-77.02745
Dupont Circle,Apartment,4,1.0,0,155,48,99.0,Yes,within a few hours,38.91554,-77.04218
Capitol Hill,House,1,1.0,1,60,100,87.0,Yes,within a day,38.88417000000001,-76.98113000000002
Shaw,Apartment,3,1.0,1,117,20,93.0,No,within an hour,38.90643,-77.02501
Brightwood Park,Apartment,3,1.0,0,100,30,,No,,38.947,-77.02415
Columbia Heights,House,2,1.0,1,50,0,,No,,38.93442,-77.02683
Kalorama Heights,Apartment,2,1.0,1,96,0,98.0,No,,38.91974,-77.048
Edgewood,Apartment,4,1.0,1,99,0,94.0,No,,38.91863,-77.01352
Kalorama Heights,Apartment,3,1.0,2,135,200,,No,within a few hours,38.91896,-77.04659000000002
Dupont Circle,Apartment,2,1.0,0,75,0,93.0,No,,38.9118,-77.03820999999998
Capitol Hill,Apartment,4,1.0,2,195,125,96.0,Yes,within an hour,38.88946,-77.00131
Capitol Hill,House,6,2.0,3,200,0,100.0,No,,38.88622,-76.97876
Kalorama Heights,Apartment,2,1.0,0,109,99,94.0,Yes,within an hour,38.9196,-77.04135
Edgewood,House,6,2.5,3,199,100,100.0,No,,38.9242,-77.00865999999998
Kalorama Heights,Apartment,1,1.0,1,85,50,100.0,Yes,within a day,38.92061,-77.03966
Capitol Hill,Townhouse,4,1.0,1,185,110,96.0,Yes,within an hour,38.89068,-77.00155
Edgewood,House,7,2.5,3,175,100,,No,,38.91491,-77.01377
Dupont Circle,Apartment,4,1.0,0,149,99,85.0,No,within a day,38.90825,-77.04781
Union Station,Townhouse,2,1.5,1,94,99,97.0,Yes,within an hour,38.9042,-77.00228
Shaw,Apartment,2,2.0,2,375,0,,No,,38.90994,-77.03248
Union Station,House,2,1.0,1,85,0,95.0,No,within a day,38.89957,-76.99736999999998
Edgewood,House,2,1.0,0,88,35,94.0,Yes,within an hour,38.92317,-77.00073
