id,neighborhood,property_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,rating,superhost,response_time,minimum_nights,maximum_nights,latitude,longitude
3362,Shaw,Townhouse,16,3.5,4,433,500,250,95.0,0,within an hour,2,365,38.90982,-77.02016
3663,Brightwood Park,Townhouse,4,3.5,4,154,0,50,97.0,0,,3,30,38.95888,-77.02554
3670,Howard University,Townhouse,2,1.0,1,75,500,25,87.0,0,,2,30,38.91842000000001,-77.0275
3686,Historic Anacostia,House,1,1.0,1,55,0,0,92.0,0,within a few hours,2,365,38.86314,-76.98836
3771,Columbia Heights,Other,2,1.0,1,88,0,0,,0,,1,1125,38.9276,-77.03926
4002,North Michigan Park,House,9,1.0,2,120,200,85,85.0,1,within an hour,2,365,38.94008,-76.98935999999998
4197,Capitol Hill,House,2,1.5,1,83,0,35,97.0,1,within an hour,7,365,38.88791,-76.99668
4501,Shaw,House,2,2.5,1,475,0,0,98.0,0,,2,365,38.91331,-77.02436
4529,Eastland Gardens,House,4,1.0,1,52,200,55,93.0,0,within a few hours,30,180,38.90645,-76.94305
4967,Ivy City,House,1,3.0,1,99,0,0,95.0,1,within an hour,2,365,38.91263,-76.99221
5589,Kalorama Heights,Apartment,3,1.0,1,118,100,15,91.0,0,within an hour,3,13,38.91933,-77.04124
7103,Spring Valley,Guest suite,2,1.0,1,99,0,35,97.0,0,within an hour,3,365,38.91988,-77.09796
9097,Kalorama Heights,Apartment,1,1.0,1,42,0,0,97.0,0,within an hour,2,7,38.91966,-77.04306
9641,Dupont Circle,Loft,4,1.0,1,195,1000,125,95.0,0,within a few hours,2,180,38.91146,-77.03636
11785,Cathedral Heights,Apartment,4,1.0,1,125,0,75,92.0,0,within an hour,1,365,38.92828,-77.07638
12442,Cathedral Heights,House,2,1.5,1,69,0,20,93.0,0,within an hour,1,365,38.92744,-77.07496
13744,Columbia Heights,Apartment,4,1.0,1,125,0,0,98.0,0,within an hour,2,90,38.92836,-77.03135999999998
13824,Brightwood Park,Guest suite,4,1.0,0,100,0,15,98.0,1,within an hour,2,60,38.95845,-77.03764
14218,Cathedral Heights,House,2,1.5,1,69,0,20,94.0,0,within an hour,1,365,38.927,-77.07645
14570,Downtown,Apartment,3,1.0,1,85,175,35,97.0,1,,3,30,38.90427,-77.02656
16684,Union Station,Guest suite,2,1.0,1,96,0,120,98.0,1,within an hour,80,365,38.89866,-77.00179
17131,Cathedral Heights,House,2,1.5,1,69,0,20,92.0,0,within an hour,1,365,38.92708,-77.0768
20067,Cathedral Heights,House,2,1.0,1,75,0,25,95.0,1,within an hour,3,31,38.92466,-77.06834
22453,Dupont Circle,Loft,1,1.0,1,90,0,0,96.0,0,within a few hours,2,4,38.90933,-77.03484
25243,Southwest Employment Area,Townhouse,8,2.5,3,379,200,175,95.0,0,within an hour,1,90,38.88107,-77.01890999999998
25366,Shaw,Townhouse,11,2.5,3,433,400,175,93.0,0,within an hour,2,365,38.90689,-77.02509
26147,Brightwood Park,House,1,1.5,1,40,100,70,90.0,0,within an hour,28,365,38.95313,-77.03583
27281,Union Station,Apartment,4,1.0,1,645,500,30,95.0,1,,3,35,38.90254,-76.99257
32087,Kalorama Heights,Bed and breakfast,2,1.0,1,169,0,0,97.0,0,within an hour,1,365,38.91766,-77.04598
32584,Shaw,Barn,4,1.0,1,129,0,60,95.0,1,within an hour,2,1125,38.91139,-77.0208
52092,Shaw,Apartment,6,1.0,2,130,400,95,87.0,0,within an hour,4,365,38.90879,-77.02403000000002
54112,Dupont Circle,Apartment,2,,1,195,0,100,97.0,1,within a day,3,365,38.91168,-77.03501
57340,Ivy City,Townhouse,2,1.0,1,73,0,0,95.0,0,,2,7,38.90519000000001,-76.98855
62119,Kalorama Heights,House,1,1.0,1,63,0,15,97.0,1,within an hour,3,70,38.92114,-77.0487
62122,Kalorama Heights,House,3,1.0,1,90,0,15,97.0,1,within an hour,3,100,38.92166,-77.04876999999998
65024,Edgewood,Apartment,1,1.0,1,35,0,25,97.0,0,within an hour,28,730,38.9165,-77.01028000000002
67483,Columbia Heights,Guest suite,3,1.0,1,99,0,50,90.0,1,within an hour,6,730,38.93375,-77.02924
72454,Brightwood Park,Townhouse,16,3.5,4,221,500,155,87.0,0,within an hour,4,90,38.94684,-77.02294
78264,Edgewood,House,4,1.5,1,62,0,30,94.0,0,,1,30,38.91573,-77.00721
79866,Ivy City,House,1,,1,99,0,0,98.0,1,within an hour,2,730,38.90476,-76.98491999999997
79867,Ivy City,House,1,,1,99,0,0,98.0,1,within an hour,2,730,38.90467,-76.98626999999998
93551,Shaw,Townhouse,2,1.5,1,87,200,50,95.0,1,within a few hours,3,365,38.91235,-77.01873
105273,Kalorama Heights,Apartment,2,1.0,1,75,0,150,100.0,0,within a day,180,365,38.92105,-77.03772
107801,Union Station,House,8,1.0,2,140,250,75,94.0,0,,2,30,38.89768,-76.97113
116289,Takoma,House,2,2.5,1,118,150,35,93.0,0,within a few hours,7,80,38.97267,-77.01821
116951,Howard University,Townhouse,2,1.5,1,67,200,50,95.0,1,within a few hours,10,730,38.91703,-77.01671999999998
