OG,FG,ABV,IBU,Color,Efficiency,SugarScale,BrewMethod,Style
1.063,1.018,5.91,59.25,8.98,70.0,Specific Gravity,extract,American IPA
1.061,1.0170000000000001,5.8,54.48,8.5,70.0,Specific Gravity,All Grain,American IPA
1.055,1.013,5.58,40.12,8.0,79.0,Specific Gravity,All Grain,American Pale Ale
1.072,1.018,7.09,268.71,6.33,75.0,Specific Gravity,All Grain,Imperial IPA
1.06,1.016,5.77,31.63,34.76,73.0,Specific Gravity,All Grain,Robust Porter
1.08,1.0170000000000001,8.22,93.02,8.29,70.0,Specific Gravity,All Grain,Imperial IPA
1.064,1.014,6.63,64.26,7.78,74.0,Specific Gravity,All Grain,American IPA
1.0659999999999998,1.015,6.62,111.0,14.26,70.0,Specific Gravity,BIAB,American IPA
1.073,1.0190000000000001,7.07,69.72,6.28,70.0,Specific Gravity,All Grain,American IPA
1.0659999999999998,1.0170000000000001,6.51,60.96,10.54,30.0,Specific Gravity,extract,American IPA
1.064,1.0170000000000001,6.2,64.67,3.91,70.0,Specific Gravity,All Grain,American IPA
1.073,1.015,7.63,44.94,6.25,70.0,Specific Gravity,BIAB,Saison
1.073,1.018,7.14,61.83,8.1,75.0,Specific Gravity,All Grain,American IPA
1.062,1.013,6.5,53.3,5.2,70.0,Specific Gravity,All Grain,American IPA
1.084,1.02,8.43,79.28,6.26,90.0,Specific Gravity,All Grain,Imperial IPA
1.082,1.013,9.1,0.0,4.1,72.0,Specific Gravity,All Grain,Saison
1.062,1.014,6.29,53.57,5.21,73.0,Specific Gravity,BIAB,American IPA
1.067,1.0170000000000001,6.6,0.0,11.69,75.0,Specific Gravity,All Grain,American Pale Ale
1.058,1.0170000000000001,5.34,57.84,3.98,83.0,Specific Gravity,BIAB,American IPA
1.052,1.012,5.31,60.58,5.82,70.0,Specific Gravity,All Grain,American IPA
1.058,1.014,5.76,39.0,38.71,71.0,Specific Gravity,All Grain,Robust Porter
1.074,1.018,7.24,0.0,7.68,75.0,Specific Gravity,All Grain,American IPA
1.071,1.018,6.93,68.91,6.82,72.0,Specific Gravity,All Grain,American IPA
1.065,1.018,6.26,89.61,6.93,70.0,Specific Gravity,All Grain,American IPA
1.053,1.012,5.38,0.0,46.1,72.0,Specific Gravity,All Grain,Robust Porter
1.0490000000000002,1.0090000000000001,5.24,40.86,3.79,75.0,Specific Gravity,All Grain,American Pale Ale
13.9618,3.4853,5.65,37.62,4.96,75.0,Plato,All Grain,American IPA
1.07,1.015,7.22,78.14,5.67,60.0,Specific Gravity,All Grain,Double IPA
1.043,1.0070000000000001,4.7,19.68,3.82,75.0,Specific Gravity,BIAB,Blonde Ale
1.06,1.016,5.83,27.15,5.18,35.0,Specific Gravity,extract,Blonde Ale
1.056,1.014,5.57,35.32,20.59,80.0,Specific Gravity,BIAB,American Brown Ale
1.0590000000000002,1.0190000000000001,5.21,37.34,42.09,75.0,Specific Gravity,All Grain,Oatmeal Stout
1.075,1.0090000000000001,7.5,0.0,8.48,70.0,Specific Gravity,All Grain,American Amber Ale
1.046,1.0090000000000001,4.84,23.22,2.85,73.0,Specific Gravity,BIAB,Kölsch
1.051,1.012,5.22,18.67,3.67,68.0,Specific Gravity,All Grain,Witbier
1.058,1.011,6.1,37.06,11.45,55.0,Specific Gravity,All Grain,American IPA
1.052,1.013,5.18,13.5,4.05,70.0,Specific Gravity,All Grain,Weizen/Weissbier
1.064,1.015,6.47,56.62,8.23,70.0,Specific Gravity,All Grain,American IPA
1.041,1.011,3.83,21.02,3.73,70.0,Specific Gravity,All Grain,Blonde Ale
1.067,1.015,6.81,69.73,5.59,73.0,Specific Gravity,BIAB,American IPA
1.068,1.016,6.76,0.0,6.81,75.0,Specific Gravity,Partial Mash,American IPA
1.0979999999999999,1.025,9.67,69.25,50.0,65.0,Specific Gravity,All Grain,Russian Imperial Stout
1.06,1.016,5.71,17.56,29.6,75.0,Specific Gravity,All Grain,American Amber Ale
1.0659999999999998,1.018,6.31,92.1,4.82,75.0,Specific Gravity,All Grain,American IPA
