title,dept,salary,race,gender,experience,experience_level
POLICE OFFICER,Houston Police Department-HPD,45279.0,White,Male,1,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,34,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,32,Veteran
ENGINEER,Public Works & Engineering-PWE,71680.0,Asian,Male,4,Novice
CARPENTER,Houston Airport System (HAS),42390.0,White,Male,3,Novice
DEPUTY ASSISTANT DIRECTOR (EXECUTIVE LEV,Public Works & Engineering-PWE,107962.0,White,Male,23,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Hispanic,Male,9,Experienced
"CHIEF PHYSICIAN,MD",Health & Human Services,180416.0,Black,Male,29,Veteran
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Male,1,Novice
PUBLIC HEALTH INVESTIGATOR SUPERVISOR,Health & Human Services,55269.0,Black,Male,17,Experienced
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Black,Male,15,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,21,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,24,Veteran
SENIOR INSPECTOR,Public Works & Engineering-PWE,61506.0,White,Male,7,Novice
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,Black,Male,15,Experienced
INSPECTOR,Public Works & Engineering-PWE,43264.0,Black,Male,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,12,Experienced
POLICE OFFICER,Houston Police Department-HPD,52514.0,Black,Male,6,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Male,17,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,26,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,38,Veteran
UTILITY WORKER,Public Works & Engineering-PWE,29557.0,Black,Male,2,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,12,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,9,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,26,Veteran
DENTAL ASSISTANT,Health & Human Services,34923.0,Black,Female,34,Veteran
SENIOR INSPECTOR,Public Works & Engineering-PWE,60258.0,White,Female,12,Experienced
SENIOR MICROCOMPUTER ANALYST,Health & Human Services,67499.0,Asian,Female,22,Veteran
INVENTORY MANAGEMENT SUPERVISOR,Public Works & Engineering-PWE,38168.0,Black,Male,8,Novice
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2,Novice
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,White,Male,5,Novice
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,White,Male,4,Novice
ASSOCIATE EMS PHYSICIAN DIRECTOR,Houston Fire Department (HFD),165216.0,Hispanic,Male,3,Novice
POLICE OFFICER,Houston Police Department-HPD,45279.0,White,Male,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35,Veteran
FIELD SUPERVISOR,Public Works & Engineering-PWE,43597.0,Black,Male,8,Novice
CUSTOMER SERVICE SUPERVISOR,Public Works & Engineering-PWE,43618.0,Black,Female,9,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,14,Experienced
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,13,Experienced
